Names	!color
Bathyarchaeota-none-none-none-none-miscellaneous_Crenarchaeota_group-6_archaeon_AD8-1-GCA_001273385	#CC0000
Bathyarchaeota-none-none-none-none-miscellaneous_Crenarchaeota_group-15_archaeon_DG-45-GCA_001273415	#CC0000
Bathyarchaeota-none-none-none-none-miscellaneous_Crenarchaeota_group_archaeon_SMTZ-80-GCA_001273495	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_BA2-GCA_001399795	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_BA1-GCA_001399805	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_TCS64-GCA_001577155	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B63-GCA_001593845	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B25-GCA_001593855	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B24-GCA_001593865	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B23-GCA_001593875	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B26-1-GCA_001593925	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B26-2-GCA_001593935	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_RBG_13_46_16b-GCA_001774235	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_RBG_13_52_12-GCA_001774245	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_RBG_13_38_9-GCA_001775955	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_RBG_13_60_20-GCA_001775965	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_RBG_16_48_13-GCA_001775995	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_RBG_16_57_9-GCA_001776015	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-05-GCA_002009955	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-10-GCA_002009985	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-01-GCA_002010885	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-04-GCA_002010925	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-06-GCA_002010955	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-07-GCA_002010975	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-08-GCA_002010995	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-09-GCA_002011005	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_JdFR-11-GCA_002011035	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_ex4484_40-GCA_002254475	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_ex4484_231-GCA_002254965	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_ex4484_218-GCA_002254975	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_ex4484_135-GCA_002255025	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_ex4484_205-GCA_002255045	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_B24-2-GCA_002490245	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_UBA185-GCA_002495485	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_UBA233-GCA_002507245	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_UBA589-GCA_002509245	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_002726865	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9-GCA_002779555	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon_CG_4_8_14_3_um_filter_42_8-GCA_002782745	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_002871235	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_002871245	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_002871255	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003096235	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003096255	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003133625	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003141295	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003141855	#CC0000
